被试编号,实验条件,eHMI样式,紧急程度,追赶公交车,车流密度,环境照度,注视次数eHMI1,eHMI2,eHMI3,eHMI,车辆,总,注视时长eHMI1,eHMI2,eHMI3,eHMI,车辆,总,首次注视,穿越过程注视次数eHMI1,eHMI2,eHMI3,eHMI,车辆,总,穿越过程注视时长eHMI1,eHMI2,eHMI3,eHMI,车辆,总,首次注视,瞳孔最大,瞳孔平均,瞳孔差值,穿越过程瞳孔最大,穿越过程瞳孔平均,穿越过程瞳孔差值,穿越状态,穿越延误,穿越时间,安全边际,安全距离,Q1,Q2,Q3
1,5,2,2,False,Low,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.1771106,0,0.1771106,0.0855923,0.2627029,1.598216,3.617615,2.894838,0.07808995,3.848755,3.224423,0.5872042,1,1.02,2.313264,0.4997147,1.685685,4,7,5
1,17,2,1,False,High,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814982,0.0814982,0,3.33786,2.818758,0.1770582,3.730644,2.930931,0.2011912,1,1.14,2.412604,2.170909,6.035126,7,7,7
1,28,1,2,True,High,Clear,0,0,0,0,17,17,0.0258184,0,0,0.0258184,2.461524,2.487342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.443115,3.028486,0.4907897,0,0,0,0,0.00,0,0,0,1,1,1
1,28,1,2,True,High,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.540337,3.441066,0.09927106,4.158913,3.636464,0.639925,1,-0.04,1.641637,1.584487,9.553346,7,1,1
1,31,4,2,True,High,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0.0888545,0,0,0.0888545,0.2103472,0.2992017,0,0,0,0,4.194954,3.757891,0.3869982,1,-0.14,2.200114,1.41467,7.940964,7,6,4
1,6,3,2,False,Low,Clear,1,0,0,1,1,2,0.2203562,0,0,0.2203562,0.1118579,0.3322141,1.624182,3,0,0,3,0,3,0.1953955,0.2416677,0,0.4370632,0.1236307,0.5606939,0.3780067,3.351776,2.787269,0.6376543,3.641495,3.048578,0.4559841,1,1.13,2.089295,0.5405532,1.927231,4,7,6
1,2,3,1,False,Low,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668644,0.0668644,0,0,0,0,3.773071,3.023879,0.7385299,1,-2.80,5.834679,2.765255,7.687409,7,7,4
1,4,1,2,False,Low,Clear,0,0,0,0,9,9,0.0229549,0,0,0.0229549,2.130914,2.153869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.141914,2.833025,0.4605172,0,0,0,0,0.00,0,0,0,1,0,0
1,24,1,1,True,High,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51165,3.308797,0.202853,4.043045,3.362586,0.7682767,1,0.14,1.79853,3.520093,9.785859,7,1,1
1,15,4,2,True,Low,Clear,0,0,0,0,2,2,0,0,0,0,0.3005097,0.3005097,0,2,2,0,4,0,4,0.117005,0.3988923,0,0.5158973,0.2221612,0.7380584,1.445606,3.530869,3.416787,0.1140811,4.073837,3.460145,0.5524821,1,0.80,2.450037,0.5536965,1.974091,4,7,6
